salary,city,company,company_size,tag,work_experience,company_address,job_description,education,age,job_title
14-28万," 
上海
",上海即富信息技术服务有限公司,公司规模：500-999人,"带薪年假,五险一金,节日礼物,团队聚餐,发展空间大,年底双薪,领导好,公司提供专车,管理规范,岗位晋升,做五休二",2年以上经验,公司地址：上海市浦东新区金科路2555号（中国芯科技园）C栋,"岗位职责：
1、创新性互联网金融产品设计，完成互联网或软件产品的整体实现，包括从需求分析到产品发布；
2、负责产品的《可行性方案》《需求调研报告》《需求规格说明书》等相关文档的编写、业务流程、DEMO原型、UI、交互设计等；
3、协调对接外部资源，组织调查分析行业发展机会，熟悉竞品分析方法，完成市场分析和竞争分析报告；
4.通过数据分析与测算，制定针对B端、C端用户的产品定价、推广激励政策，分析产品的盈利性、风险性和流动性，对产品市场及需求进行挖掘和研究，提供新产品开发或现有产品升级的合理化方案；
5、与研发团队密切配合，协助研发团队理解和掌握需求，协调各方资源，快速、高效推进产品项目进度； 
6、监控产品效果，收集内外部用户反馈，挖掘用户需求，实现产品持续优化。
任职要求：
1、大专及以上学历，计算机、金融学、财务会计、数量经济、金融工程、投资等相关专业；
2、至少2年以上产品工作经验，有互联网、电商、消费金融, 小额信贷, 或场景化金融产品设计者优先；
3、熟悉相关的法律和金融行业规定，精通金融产品的合规性要求；
4、具有非常好的风险控制意识，具备相关的实际经验
                            ",大专及以上,年龄不限,金融产品经理
18-24万," 
北京
",学科网,公司规模：500-999人,"绩效奖金,带薪年假,弹性工作,节日礼物,领导好,扁平管理,生育补贴,团队聚餐,岗位晋升,技能培训,外派津贴,发展空间大,优秀员工奖,全勤奖,公司规模大",3年以上经验,"公司地址：北京市房山区良乡首发物流商务楼B座（苏庄地铁站附近,提供住宿，有班车）","部门：数据运营中心
招聘人数：1人
硬性要求：统招本科，有毕业证和学位证
岗位职责：
1、负责学科网销售系统及渠道管理系统的建设工作
2、负责各类型的销售流程梳理及优化
3、基于销售数据进行数据分析
4、对用户体验提升有较高敏感度
任职要求
1、精通J2EE项目开发及管理
2、3年以上项目开发经验，有ERP，CRM系统开发经验优先
3、熟悉Linux服务器的运维管理
4、对产品销售或客户管理方面有相关经验
5、熟悉BPMN标准规范
6、需要团队合作、及开发文案撰写能力

",统招本科,年龄不限,产品经理
5-8万," 
长沙-雨花区
",长沙爱登网络科技有限公司,公司规模：50-99人,"绩效奖金,年度旅游,五险一金,团队聚餐,扁平管理,领导好,带薪年假,岗位晋升,发展空间大,优秀员工奖",1年以上经验,公司地址：长沙市雨花区树木岭路16号双铁城综合楼18楼,"职责描述：
1、负责市场调研，分析竞争品，策划相关项目；
2、根据用户体验确立功能点，不断完善策划案，进行策划优化及改进；
3、负责产品的功能策划，原型设计、撰写产品需求说明书等相关文档；
4、负责相关产品开发项目周期和进度的把控，对产品完成的进度和质量负责；
5、配合相关进行广告宣传策划、以及产品相关推广的文案工作；
6、负责制定广告公司在线产品的产品设计、实施方案和工作目标；
7、对产品的运营状况进行监控和分析，并提出改进方案；
任职要求：
1、熟练使用office办公软件，文字功底强；
2、有独特的产品、用户心理分析能力，擅长分析市场发展方向和动态，对移动互联网发展潮流高度关注，思维活跃、有创意；
3、对用户需求能敏锐的察觉，有较强的逻辑思维能力，需求分析能力及产品规划能力；
4、熟练使用axure、Mockplus等原型设计软件；
5、熟练使用photoshop等图片处理软件，能够简单处理素材图片；
6、熟练使用思维导图相关软件；
7、良好的团队沟通协调能力，可承受一定的工作压力，有责任心，通过持续学习完善自身；
8、具备较强的逻辑思维能力、自学能力、英文阅读能力和沟通能力。
                            ",学历不限,年龄不限,产品策划经理
18-24万," 
北京
",北京云测信息技术有限公司,公司规模：500-999人,"带薪年假,午餐补助,定期体检,五险一金,绩效奖金,节日礼物,团队聚餐,领导好,公司规模大,优秀员工奖",2年以上经验,公司地址：北京市朝阳区酒仙桥路52号东方科技园4号楼,"职位描述：
1．负责Testin众测平台的产品规划和策略制定，包括产品功能设计、发布跟进、数据分析、版本迭代；
2．收集分析来自内外各个角色及部门的反馈，并有效具化为可解决问题的产品需求，促使产品不断迭代升级；
3. 以质量和效率为核心，负责众测产品的流程、规则优化工作；
职位要求：
1. 理解众包类型产品的模式及关键要素；
2. 具有较强的逻辑感、结构化思维，良好的文字表达能力及沟通能力，善于跨部门沟通协作；
3．有较强的信息获取能力，需要较强的互联网行业信息敏感度；
4. 强烈的责任心和抗压能力；
5. 熟练掌握产品设计工具（Axure、Visio、Xmind等）；

",本科及以上,年龄不限,产品经理
面议," 
上海
",上海巍擎信息技术有限责任公司,公司地址：盛夏路560号507室,"年底双薪,弹性工作,五险一金,绩效奖金,发展空间大,带薪年假,定期体检,年度旅游,节日礼物,领导好,团队聚餐",2年以上经验,,"工作职责： 
1、根据产品战略、市场研究和客户需求分析，确定产品定位和目标。
2、负责产品线的规划，完成具体产品设计。 
3、研究市场趋势，针对存在问题挖掘潜在需求，提出有前瞻性的需求方案。
4、对产品线运营数据进行追踪和分析，制定优化方案并推进实施。
5、与研发团队紧密配合、协调推进项目，完成产品目标。
6、参与行业市场、竞争对手进行对比分析，并提出产品改善计划。 
 
岗位要求： 
1、2年以上产品经理工作经验。
2、熟悉产品实施过程，包括市场分析、需求分析、产品功能设计、业务流程设计、原型设计、产品可用性测试等；
3、较强的协调、沟通能力，具备团队合作精神、性格外向开朗
4、有2B的行业产品或项目经验者优先
5、熟悉Android系统、有Android平台安全相关经验者优先
                            ",本科及以上,年龄不限,高级产品经理
24-36万," 
上海
",上海宏鹿信息技术服务有限公司,公司规模：100-499人,"年底双薪,绩效奖金,带薪年假,领导好,弹性工作,定期体检,五险一金,发展空间大",3年以上经验,公司地址：上海市浦东新区张江镇上投盛银大厦D栋6层,"岗位职责：
1.负责金融大数据产品规划，结合数据的应用场景,抽象数据需求,搭建数据模型,编写需求文档和产品原型。
2.负责业务侧数据需求的对接，确定数据挖掘业务目标、数据指标、数据报表。
3.产品全生命周期跟进，协调各种资源保证产品顺利展开，最终对研发结果负责。
4.负责产品数据分析，产品思路总结，对数据产品进行迭代和优化。
任职要求：
1.本科以上学历，计算机、数学等相关专业；
2.逻辑思维能力和学习能力强，有执行力；
3.工作积极主动，责任心强，良好的沟通表达能力以及推动能力；
4.熟练使用Excel、Axure、Visio、思维导图等工具；
5.了解数据分析、数据仓库、数据挖掘与人工智能，有数据分析系统建设经验；
6.有丰富的互联网产品规划经验,有敏锐的商业意识，良好的客户需求分析、挖掘能力。

",本科及以上,年龄不限,数据模型产品经理
12-24万," 
北京
",指掌易科技,公司规模：100-499人,"扁平管理,发展空间大,带薪年假,定期体检,弹性工作,领导好,五险一金,团队聚餐,休闲餐点,岗位晋升",3年以上经验,公司地址：海淀区东北旺西路8号中关村软件园8号楼华夏科技大厦三层309、311房间,"岗位职责：
1、负责公司各个产品线产品的市场化工作；
2、根据公司产品市场规划，进行亮点挖掘、文字包装、撰写案例并进行传播；
3、承接公司级各产品核心价值和卖点提炼，并进行产品包装，包装形式包括但不限于官网、宣传册、视频、PPT、图片、培训；
4、与市场部其他团队配合，完成产品内容价值传递及传播推广，在市场活动中准备并发表演讲；
5、结合市场情况，完成行业数据搜集、分析并形成产品及竞品相关报告；
6、针对公司海外目标市场，统筹产品的本地化市场方案。
 
任职要求:
1、本科及以上学历，3年以上软件行业或互联网行业产品或市场工作经验；
2、优秀的品牌意识和创意策划能力，能组织产品进行市场化，包括撰写完整的策划传播方案并跟进执行，对执行的结果有明确的数据追踪。
3、能够准确捕捉产品亮点，敏锐洞悉用户的需求和变化，具备恰如其分的文字表现能力、丰富创意策划力；
4、良好的交际沟通能力和分析判断力，高度的责任感，工作积极主动，善于多部门沟通协作；
5、敏锐的市场反应及市场洞察能力，有较强的策略思考能力和逻辑思维能力；
6、良好的英文表达能力。
                            ",本科及以上,年龄不限,产品营销经理
18-36万," 
上海
",微鲸科技有限公司,公司规模：500-999人,"领导好,技能培训,岗位晋升,发展空间大 ",经验不限,公司地址：上海市浦东新区盛夏路666号E栋3层,"工作职责:
1、为搜索制定可真实反映用户感受的评测体系；
2、对评测结果进行分析，制定搜索基础品质改进计划，确定各方向改进优先级；
3、负责语音智能产品需求调研、版本立项和产品设计、项目推进；
4、为产品功能团队提供有效的优化策略，提升搜索和语音产品整体品质.
任职要求:
1、具备数据挖掘和数据建模能力，对智能推荐算法熟悉；
2、关注细节，实践过通过产品细节设计来提高产品整体的用户体验
3、数据驱动，实践过通过产品数据来引导产品设计；
4、研究生及以上学历，计算机及相关专业优先.
                            ",硕士及以上,年龄不限,搜索/语音产品经理
18-36万," 
上海
",微鲸科技有限公司,公司规模：500-999人,"领导好,技能培训,岗位晋升,发展空间大 ",3年以上经验,公司地址：上海市浦东新区盛夏路666号E栋3层,"工作职责:
1、负责视频内容个性化推荐产品的规划，包含基础数据的搜集、排序、展示等产品形态；
2、挖掘用户个性化需求，优化个性化推荐策略，提升个性化策略的转化效果；
3、定期评估推荐效果，基于数据分析结论，不断优化推荐策略和前端体验；
4、负责与横向部门沟通协调，确保项目推进，指导产品持续改善。
任职要求:
1、研究生及以上学历，计算机及相关专业 优先；
2、4年以上产品经理工作经验，具备较强的产品策划能力；
3、熟悉搜索引擎或推荐系统，有数据挖掘、个性化推荐产品经验优先；
4、对数据敏感，具备良好的逻辑分析能力。
                            ",硕士及以上,年龄不限,个性化推荐产品经理
10-19万," 
杭州-滨江区
",丁香园,公司规模：500-999人,"领导好,发展空间大,公司规模大,环境舒适有趣,带薪年假,年度旅游,弹性工作,定期体检,节日礼物,五险一金",2年以上经验,公司地址：杭州市滨江区江虹路 611 号上峰电商产业园3号楼3楼,"职位描述：
1、负责丁香云管家产品线，从需求分析、功能设计、开发跟进到最终上线的整个流程；
2、优化已有功能或策略以提升用户体验，并撰写高质量的产品需求文档与产品原型图，确保技术及业务部门准确理解。
任职条件：
1、严密的逻辑思维，可以处理复杂业务逻辑和业务流程；
2、出色的沟通与表达能力，可以高效的进行口头与笔头沟通；
3、有学习欲望和自驱力，对产品设计感兴趣；
4、热爱分享交流，习惯团队工作而非单打独斗，能够与不同性格的人共事；
5、有医疗从业经历或相关背景优先。
                            ",本科及以上,年龄不限,云管家产品经理
面议," 
上海
",通联支付,公司规模：5000-10000人,"年底双薪,绩效奖金,交通补助,通讯津贴,午餐补助,公司规模大,定期体检,发展空间大,节日礼物,年度旅游,补充医疗保险",3年以上经验,公司地址：上海市浦东新区杨高南路799号陆家嘴世纪金融广场,"职责描述：
1.负责通联钱包服务平台的规划与需求设计，基于账户体系与内容服务，输出配置化的APP／SDK；
2.对上线产品结果负责，参与市场调研、客户洽谈；主导产品方案设计、产品落地与迭代优化；
3.协助UI、开发、运营、推广等人员理解和掌握需求，对产品需求方向和易用性负责；
4.和业务，市场，客服等多个部门沟通协作，推进产品正常运转，收集需求反馈，调研分析。
任职要求：
1.专业：计算机、电子、通讯、金融等相关专业；
2.通晓：开放平台／SAAS内容服务市场方向产品设计与需求撰写；
3.熟悉：Axure、Visio、Xmind、Sktech等圆形设计与项目管理工具；
4.经验：三年以上产品经理经验，两年以上平台型产品经验，有互联网金融行业者优先；
5.能力：有能力与开发人员就产品实现逻辑进行深入讨论，出色的语言、沟通和协调能力，愿意接受新事物6.挑战，拥有强烈的责任心和良好的抗压性。

",统招本科,年龄不限,产品经理（平台服务）
30-42万," 
北京
",百乘科技,公司规模：500-999人,"年底双薪,带薪年假,午餐补助,年度旅游,节日礼物,领导好,扁平管理,五险一金,团队聚餐,上市公司,发展空间大",2年以上经验,公司地址：朝阳区北辰西路8号院北辰世纪中心B座六层,"职责描述：
1.	负责设计承接借款人贷款受理平台产品（提交贷款申请，跟进贷款核心信息，获取贷后信息）
2.	负责借款用户的新用户获取，持续提升新用户转化率，持续优化新用户流量入口
3.	深入了解行业，为一次客户提供有价值的工具服务，提升客户二次贷款转化率
任职要求：
1.	至少三年以上的用户端产品经验
2.	大学本科或以上学历
3.	具有持续优化的能力，推进产品线完成业务目标
4.	具备良好的数据分析能力，以及量化衡量目标的能力
5.	优秀的沟通能力和协作能力，可以从终端用户场景深挖需求

",统招本科,年龄不限,高级产品经理
22-30万," 
深圳-南山区
",武汉微思敦网络技术有限公司,公司规模：100-499人,"五险一金,岗位晋升,技能培训,扁平管理,领导好,带薪年假,绩效奖金,发展空间大,优秀员工奖,全勤奖,午餐补助,通讯津贴,交通补助,节日礼物,出国旅游,管理规范",3年以上经验,公司地址：高新南九道9号威新软件园2号楼502室,"职责描述：
1.负责独立DSP的产品搭建与线上运营
2.负责与资源媒体方的沟通推进
3.负责与需求方的沟通对接
任职要求：
1.本科毕业、3-5年互联网产品经验
2.独立从0到1搭建产品或大项目系统的经验
3.良好的沟通能力，团队合作能力、抗压能力
4.目标导向，结果导向
5.了解广告系统工作原理，相关广告产品经验者优先
                            ",统招本科,年龄不限,高级产品经理2
22-30万," 
深圳-南山区
",武汉微思敦网络技术有限公司,公司规模：100-499人,"五险一金,岗位晋升,技能培训,扁平管理,领导好,带薪年假,绩效奖金,发展空间大,优秀员工奖,全勤奖,午餐补助,通讯津贴,交通补助,节日礼物,出国旅游,管理规范",3年以上经验,公司地址：高新南九道9号威新软件园2号楼502室,"职责描述：
1. 负责自研ADX的预研、系统策划与产品策划；
2. 负责项目跟进与管理，从0到1搭建ADX系统；
3. 负责ADX上线后的运营。
任职要求：
1. 本科及以上学历，计算机或理科专业出身，3-5年互联网产品策划工作经验；
2. 拥有独立负责一个从0开始的项目经验；
3. 熟悉广告系统工作原理，相关广告平台或产品策划者经验优先；
4. 较强的技术背景，逻辑清晰，学习能力和协作能力强；
5. 工作主动积极负责；良好的项目统筹能力。
                            ",统招本科,年龄不限,高级产品经理
面议," 
北京
",和信电子商务,公司规模：1000-2000人,"年底双薪,股票期权,绩效奖金,带薪年假,弹性工作,领导好,岗位晋升,技能培训,节日礼物,年度旅游,管理规范,五险一金,扁平管理,每月生日会,团建基金,发展空间大",2年以上经验,公司地址：北京市朝阳区建国路甲92号世茂大厦C座13层,"岗位职责：
1 通过市场调研、竞品分析、数据分析等手段，规划产品产品方向，提供业务解决方案；
2 设计理财产品原型、业务流程，及业务前后台处理逻辑与规则；
3 负责撰写MRD、BRD、PRD等文档需求；
4 负责日常业务数据统计分析；
5 负责产品版本管理，全程参与项目开发，产品测试验收，推动产品上线；
6 撰写信贷产品说明文档，协助运营完成产品的推广与培训工作；
7 负责贷款端产品问题解决，完善改进，及迭代计划；
任职要求：
1 正规大学本科或以上学历，金融、IT相关专业毕业；
2 具有2年以上产品经理岗位经验，有信贷产品、抵押贷产品、消费金融产品等经验优先，有相关产品成功案例优先。
3 会使用Axure原型设计工具，熟练使用Xmind、Visio、office等常用办公软件
4 具有良好的学习能力和工作责任感；
5 具备优秀的沟通、协调、项目推动及跨领域思维能力；

",本科及以上,年龄不限,产品经理（借款端）
18-30万," 
北京
",北京网利科技,公司规模：100-499人,"领导好,技能培训,岗位晋升,发展空间大 ",3年以上经验,公司地址：北京市 朝阳区 三元桥 海南航空大厦a座 ,"岗位职责：
1、 负责平台产品的维护、规划、设计、升级、迭代；
2、 监控现有的贷款，建立规则和模型，对坏账及时作出预警和风险规避；
3、 撰写高质量的产品需求文档，跨部门沟通协调，推动研发团队，保证产品按时开发完成，高质量上线；
4、从0到1建立金融风控系统及规范；
5、 与各业务线同事配合推动各风控策略，建立健全风险防控机制和体系；
任职要求：
1、 本科及以上学历，两年以上的互联网风控产品经理经验；
2、 熟练掌握visio、Axure等产品工具；
3、 深入了解信贷行业相关风险点，能独立把控产品的推进和落地；
4、 项目管理经验丰富，能合理安排并跟进项目进度；
5、 有数据模型搭建、现金贷风险知识背景优先
                            ",本科及以上,年龄不限,风控产品经理
12-18万," 
深圳
",对酒当歌,公司规模：100-499人,"领导好,技能培训,岗位晋升,发展空间大 ",3年以上经验,公司地址：宝安区宝城67区隆昌路8号飞扬科技园,"职责描述：
1、负责集团会员宝的产品规划、方案设计，以及产品需求和功能文档撰写
2、跨部门协调沟通，确保产品从需求调研、规划、设计、开发到上线如期完成
3、对日常平台运营情况进行监控，处理客户反馈问题，同时分析用户行为及需求，提出产品的优化改进意见
任职要求：
1、本科及以上学历，专业不限，3年及以上互联网产品经理工作经验，负责过完整的项目周期，包括前端和后台
2、熟悉互联网金融行业的主流产品，如P2P产品，余额宝类等产品
3、有把控项目产品周期的能力，对于产品版本的迭代有清晰明确的规划
4、工作认真严谨，具备良好的沟通表达能力
福利待遇：
1.入职即缴纳五险一金;
2.早晚有班车接送（班车从蛇口体育中心出发，途经南山地铁站、桃园地铁站、兴东地铁站等）;
3.提供本行业有竞争力的薪酬;
4.每月举办一次生日会和下午茶活动。
应聘说明：
1.请选择最适合您的一个岗位投递简历，请勿重复投递;
2.您的简历我们将在3个工作日内审核完毕，请保持电话畅通；初审符合条件我们会电话与您约定面试时间;
3.可电联咨询并约定面试时间，电联时请说明应聘的职位，电话，姓名等信息;
4.来电咨询时间：周一到周五上午9:00-12:00，下午13:30-18:30;
5.来访请提前预约，谢绝未约来访，请在约定好的时间准时到达，如若迟到将直接取消面试资格。有特殊情况需改约时间者可电联说明。
                            ",大专及以上,年龄不限,会员宝金融产品经理
7-13万," 




                                                        安徽省



                                        ",合肥栋天科技有限责任公司,公司规模：1-49人,"绩效奖金,弹性工作,定期体检,五险一金,带薪年假,节日礼物,休闲餐点,年底双薪",2年以上经验,公司地址：高新区拓基广场,"工作职责
1负责线上产品的市场推广
2根据各种统计数据和用户反馈，不断完善产品。
3分析用户需求，对迭代产品提出建议，跟进迭代产品进度
岗位要求
1.计算机基础扎实，有实际产品开发经验，懂后台
2.1年互联网产品经验，做过量化交易类优先
3.懂策略
4.较强的沟通、协调工作能力
任职要求
1.学过数据结构和算法，并能正确运用
2.计算机、电子、自动化、软件工程等弱电类专业优先
3.流畅阅读英文资料优先
关注微信公众号 云算股市 了解产品信息
                            ",本科及以上,年龄不限,互联网产品经理
12-18万," 
北京
",北京华语时代,公司规模：50-99人,"绩效奖金,午餐补助,通讯津贴,带薪年假,节日礼物,扁平管理,五险一金",2年以上经验,公司地址：北京市海淀区西三环北路89号中国外文大厦A座7层702,"岗位职责：
1.	市场需求的调研分析；
2.	产品策划；
3.	负责产品原型设计；
4.	负责需求文档及其它无形资产申报相关材料的书写及维护；
5.	负责跟踪产品进度解答疑问、协调资源、及时反馈；
任职要求：
1.	两年以上电商网站产品策划设计经验；
2.	对电商、社交和在线教育行业有长期的观察和足够的认知；
3.	独立完成过一款发布上线上线的产品；
4.	有移动端产品与网站的设计能力；
5.	好奇心强，对互联网产品有自己的看法，嗅觉灵敏；
6.	同理心强，擅于研究用户需求；
7.	责任心强，保持一颗敬畏之心；
8.	对数据变化敏感，具备良好的分析判断能力；
9.	熟练使用Axure，Mindmanager等常用工具；
10.	有技术背景、教育产品基础的优先考虑；
11.	英语阅读水平通常的优先；

",本科及以上,年龄不限,网站端产品经理
12-18万," 
深圳
",对酒当歌,公司规模：100-499人,"领导好,技能培训,岗位晋升,发展空间大 ",3年以上经验,公司地址：宝安区宝城67区隆昌路8号飞扬科技园,"职责描述：
1、负责集团会员宝的产品规划、方案设计，以及产品需求和功能文档撰写
2、跨部门协调沟通，确保产品从需求调研、规划、设计、开发到上线如期完成
3、对日常平台运营情况进行监控，处理客户反馈问题，同时分析用户行为及需求，提出产品的优化改进意见
任职要求：
1、本科及以上学历，专业不限，3年及以上互联网产品经理工作经验，负责过完整的项目周期，包括前端和后台
2、熟悉互联网金融行业的主流产品，如P2P产品，余额宝类等产品
3、有把控项目产品周期的能力，对于产品版本的迭代有清晰明确的规划
4、工作认真严谨，具备良好的沟通表达能力
福利待遇：
1.入职即缴纳五险一金;
2.早晚有班车接送（班车从蛇口体育中心出发，途经南山地铁站、桃园地铁站、兴东地铁站等）;
3.提供本行业有竞争力的薪酬;
4.每月举办一次生日会和下午茶活动。
应聘说明：
1.请选择最适合您的一个岗位投递简历，请勿重复投递;
2.您的简历我们将在3个工作日内审核完毕，请保持电话畅通；初审符合条件我们会电话与您约定面试时间;
3.可电联咨询并约定面试时间，电联时请说明应聘的职位，电话，姓名等信息;
4.来电咨询时间：周一到周五上午9:00-12:00，下午13:30-18:30;
5.来访请提前预约，谢绝未约来访，请在约定好的时间准时到达，如若迟到将直接取消面试资格。有特殊情况需改约时间者可电联说明。
                            ",大专及以上,年龄不限,会员宝金融产品经理
7-13万," 




                                                        安徽省



                                        ",合肥栋天科技有限责任公司,公司规模：1-49人,"绩效奖金,弹性工作,定期体检,五险一金,带薪年假,节日礼物,休闲餐点,年底双薪",2年以上经验,公司地址：高新区拓基广场,"工作职责
1负责线上产品的市场推广
2根据各种统计数据和用户反馈，不断完善产品。
3分析用户需求，对迭代产品提出建议，跟进迭代产品进度
岗位要求
1.计算机基础扎实，有实际产品开发经验，懂后台
2.1年互联网产品经验，做过量化交易类优先
3.懂策略
4.较强的沟通、协调工作能力
任职要求
1.学过数据结构和算法，并能正确运用
2.计算机、电子、自动化、软件工程等弱电类专业优先
3.流畅阅读英文资料优先
关注微信公众号 云算股市 了解产品信息
                            ",本科及以上,年龄不限,互联网产品经理
12-18万," 
北京
",北京华语时代,公司规模：50-99人,"绩效奖金,午餐补助,通讯津贴,带薪年假,节日礼物,扁平管理,五险一金",2年以上经验,公司地址：北京市海淀区西三环北路89号中国外文大厦A座7层702,"岗位职责：
1.	市场需求的调研分析；
2.	产品策划；
3.	负责产品原型设计；
4.	负责需求文档及其它无形资产申报相关材料的书写及维护；
5.	负责跟踪产品进度解答疑问、协调资源、及时反馈；
任职要求：
1.	两年以上电商网站产品策划设计经验；
2.	对电商、社交和在线教育行业有长期的观察和足够的认知；
3.	独立完成过一款发布上线上线的产品；
4.	有移动端产品与网站的设计能力；
5.	好奇心强，对互联网产品有自己的看法，嗅觉灵敏；
6.	同理心强，擅于研究用户需求；
7.	责任心强，保持一颗敬畏之心；
8.	对数据变化敏感，具备良好的分析判断能力；
9.	熟练使用Axure，Mindmanager等常用工具；
10.	有技术背景、教育产品基础的优先考虑；
11.	英语阅读水平通常的优先；

",本科及以上,年龄不限,网站端产品经理
面议," 
上海
",上海巍擎信息技术有限责任公司,公司地址：盛夏路560号507室,"年底双薪,弹性工作,五险一金,绩效奖金,发展空间大,带薪年假,定期体检,年度旅游,节日礼物,领导好,团队聚餐",2年以上经验,,"工作职责： 
1、根据产品战略、市场研究和客户需求分析，确定产品定位和目标。
2、负责产品线的规划，完成具体产品设计。 
3、研究市场趋势，针对存在问题挖掘潜在需求，提出有前瞻性的需求方案。
4、对产品线运营数据进行追踪和分析，制定优化方案并推进实施。
5、与研发团队紧密配合、协调推进项目，完成产品目标。
6、参与行业市场、竞争对手进行对比分析，并提出产品改善计划。 
 
岗位要求： 
1、2年以上产品经理工作经验。
2、熟悉产品实施过程，包括市场分析、需求分析、产品功能设计、业务流程设计、原型设计、产品可用性测试等；
3、较强的协调、沟通能力，具备团队合作精神、性格外向开朗
4、有2B的行业产品或项目经验者优先
5、熟悉Android系统、有Android平台安全相关经验者优先
                            ",本科及以上,年龄不限,高级产品经理
面议," 
上海
",上海族蚂信息科技有限公司,公司规模：50-99人,"年底双薪,股票期权,带薪年假,领导好,管理规范,岗位晋升,五险一金,节日礼物,团队聚餐",3年以上经验,公司地址：金山区林盛路136号,"工作内容：                    
1 、电子商务产品策划及开发；
2 、管理商品和服务类目的交易流程，与技术部、市场（拓展）部等相关部门之间的协作分工，以保障交易流程闭环；
3 、制定修改产品和服务的交易流程，是交易流程更符合行业规律；
4、 提供深入的市场分析、行业分析、竞品分析，并对产品类目进行调整；
5 、统计分析市场数据，并制作数据报告；
6、 与市场部、客服进行沟通，了解最新的、不断变化的市场需求；
7 、不断增加产品和服务类目；
8 、掌握产品类目的交易动态，定期制定销售报表；
9、 深入了解竞争电子商务网站的相关信息、产品和服务的市场现状；
10、 在部门内部，辅助跟踪和执行已投入市场的产品和服务项目在交易过程中遇到的问题；
11、 在部门内部，辅助提升产品市场策略、制定年度计划；
12、 帮助拓展销售渠道、搜集产品内容制作资源；
13、 培训员工简要的产品服务信息和交易流程。
任职要求：
1、本科及以上，专业不限，有电子商务类网站工作经验；
2、有过三年以上相关工作经验。.
3、至少有以下至少一项网页设计规划经验，精通AXURE软件：
   产品类展示页面规划及交易流程规划
   服务类宝贝详情规划及交易流程规划
   音乐类列表页，播放页及交易流程规划
   视频列表页，播放页及交易流程页面规划
   新闻或博客列表页及详情面规划
4、其他素质要求：能加班、能吃苦、性格开朗。

",学历不限,年龄不限,互联网产品经理
6-10万," 
温州
",浙江绿森数码科技有限公司,公司规模：100-499人,"绩效奖金,节日礼物,岗位晋升,五险一金,发展空间大,弹性工作",3年以上经验,公司地址：龙湾区高新园区高一路169号中试大楼西五楼,"1、3年以上百货、服装、皮鞋或者通讯行业采购从业经验；
2.市场洞察力，明确的知道现在市场上缺什么，用户想要什么； 
3.文字表达能力，逻辑思维能力很强，并且能够用文字合理的表达； 
4.协调沟通能； 
5.产品运营能力
                            ",大专及以上,年龄不限,产品经理
12-18万," 
广州
",联邦车网,公司规模：100-499人,"周末双休,五险一金,弹性工作,带薪年假,岗位晋升,节日礼物,领导好",3年以上经验,公司地址：广州市海珠区万胜围万胜广场C塔27层,"岗位职责：
1、负责运营数据统计，运营工具，运营后台的等支撑系统设计；
2、对接运营部门工作，配合和协助其活动策划方案落地；
3、能制定合理的版本演进路线和迭代计划；
4、负责日常运营需求管理和收集，数据分析；
任职要求：
1、良好的沟通、说服能力；
2、有互联网产品设计、运营和版本迭代经验，有经历一个或以上 完整产品生命周期 经验者优先；
3、有大型运营活动策划成功案例，或运营支撑经验者优先；
4、对产品交互，用户体验有自己的理解和判断准则；
5、良好的业界视野和商业触觉，对行业现状和未来发展有自己独到的理解和判断；
6、优秀的数据分析和逻辑推演能力；
                            ",大专及以上,年龄不限,产品经理
